time,x,y,z,xdot,ydot,zdot,xddot,yddot,zddot
1.405083826086956478e+00,3.014815305234964660e-01,-3.540744250321522374e-03,4.872336752231930523e-01,-6.023213424113000279e-03,5.935626330689541125e-03,2.385430778514581809e-03,5.097134161428860943e-02,4.652518565028514186e-02,-1.248315073684415875e-02
1.505446956521739210e+00,3.012943362167543326e-01,-2.643327335691910036e-03,4.873673705415556001e-01,2.292873289618870512e-03,1.194777190015313892e-02,2.788009524685103671e-04,8.285997734133832004e-02,5.990392630658699508e-02,-2.099007690294185657e-02
1.605810086956521721e+00,3.021142718536847793e-01,-1.081061928635601273e-03,4.872384083401485877e-01,1.404650618924720845e-02,1.918448553917595500e-02,-2.848712848368272106e-03,1.171110630837288724e-01,7.210530010047198901e-02,-3.116197937716863944e-02
1.706173217391304231e+00,3.043274317564917952e-01,1.256450265449622237e-03,4.867014918452608474e-01,3.005654028248752260e-02,2.739660821425518242e-02,-7.850763992613907921e-03,1.595210713723587970e-01,8.182409854598526877e-02,-4.983952894430728614e-02
1.806536347826086963e+00,3.082653681645414756e-01,4.478545481218640031e-03,4.856561619775343619e-01,4.841722575071995965e-02,3.681213461412401883e-02,-1.298018982873531783e-02,1.829425346608082315e-01,9.381459465323449542e-02,-5.110866723566961228e-02
1.906899478260869474e+00,3.142281250981145968e-01,8.674139031549482626e-03,4.839985818964018249e-01,7.040642806999841685e-02,4.679612934008173936e-02,-2.005146380645421098e-02,2.190964174196155245e-01,9.947870978820712307e-02,-7.045688936849082984e-02
2.007262608695651984e+00,3.225343422314916886e-01,1.384191474305256943e-02,4.814894800361300131e-01,9.511684920112190023e-02,5.618542751482685782e-02,-2.994900647385995152e-02,2.462101473327465706e-01,9.355326138263911351e-02,-9.861731718140560876e-02
2.107625739130434717e+00,3.334139835987011691e-01,1.993464513205809446e-02,4.778964850941535003e-01,1.216886912414255201e-01,6.522829010460644283e-02,-4.165089134541540006e-02,2.647570071319206297e-01,9.010144014644659582e-02,-1.165954551323954702e-01
2.207988869565217449e+00,3.470111717484377634e-01,2.689523242810076820e-02,4.730406164484496911e-01,1.492711341612352749e-01,7.347976465392384859e-02,-5.511509482236810753e-02,2.748264507127268219e-01,8.221619347235614716e-02,-1.341548775792912873e-01
2.308352000000000182e+00,3.634266439301221951e-01,3.465169122723741474e-02,4.667512738909927461e-01,1.778504315087680032e-01,8.108812826721015221e-02,-7.021663865806310190e-02,2.847589271451030357e-01,7.580835293126224339e-02,-1.504690394796742436e-01
2.408715130434782470e+00,3.825565749584685649e-01,4.303063715482735585e-02,4.588520645285054100e-01,2.033638838573172403e-01,8.588446199161406391e-02,-8.719593562628305539e-02,2.542114045070389405e-01,4.778979794298695433e-02,-1.691786305853954786e-01
2.509078260869565202e+00,4.041211986576057069e-01,5.178655330593500555e-02,4.491700840792826055e-01,2.263681024949839027e-01,8.860025392300892311e-02,-1.057430531692947345e-01,2.292098556313478253e-01,2.705965746215560630e-02,-1.848001099872413899e-01
2.609441391304347935e+00,4.277385127261266740e-01,6.066654764271851158e-02,4.375829231726103830e-01,2.442691517677824942e-01,8.835704699645281768e-02,-1.251616796040955215e-01,1.783628031055781438e-01,-2.423269635995960354e-03,-1.934836662694502663e-01
