time,tau1,tau2,tau3,tau4,tau5,tau6,tau7
0.111000,0.678468,10.471190,2.066316,-2.458510,0.705349,4.432071,-0.000000
0.112000,0.678468,10.471190,2.066316,-2.458510,0.705349,4.432071,-0.000000
0.113000,0.643850,10.531115,2.058943,-2.612470,0.661257,4.297849,-0.000000
0.114000,0.643850,10.531115,2.058943,-2.612470,0.661257,4.297849,-0.000000
0.115000,0.611775,10.589910,2.052992,-2.764539,0.618144,4.164823,-0.000000
0.116000,0.611775,10.589910,2.052992,-2.764539,0.618144,4.164823,-0.000000
0.117000,0.582287,10.647261,2.048468,-2.914191,0.576107,4.033142,0.000000
0.118000,0.582287,10.647261,2.048468,-2.914191,0.576107,4.033142,0.000000
0.119000,0.555367,10.703110,2.045345,-3.061370,0.535157,3.902825,0.000000
0.120000,0.555367,10.703110,2.045345,-3.061370,0.535157,3.902825,0.000000
0.121000,0.530990,10.757400,2.043598,-3.206022,0.495301,3.773888,-0.000000
0.122000,0.530990,10.757400,2.043598,-3.206022,0.495301,3.773888,-0.000000
0.123000,0.509134,10.810075,2.043204,-3.348093,0.456545,3.646346,0.000000
0.124000,0.509134,10.810075,2.043204,-3.348093,0.456545,3.646346,0.000000
0.125000,0.489773,10.861088,2.044139,-3.487537,0.418894,3.520215,0.000000
0.126000,0.489773,10.861088,2.044139,-3.487537,0.418894,3.520215,0.000000
0.127000,0.472880,10.910387,2.046377,-3.624304,0.382352,3.395506,-0.000000
0.128000,0.472880,10.910387,2.046377,-3.624304,0.382352,3.395506,-0.000000
0.129000,0.458428,10.957926,2.049896,-3.758350,0.346919,3.272234,0.000000
0.130000,0.458428,10.957926,2.049896,-3.758350,0.346919,3.272234,0.000000
0.131000,0.446388,11.003651,2.054669,-3.889625,0.312596,3.150408,-0.000000
0.132000,0.446388,11.003651,2.054669,-3.889625,0.312596,3.150408,-0.000000
0.133000,0.436729,11.047532,2.060675,-4.018097,0.279384,3.030042,0.000000
0.134000,0.429422,11.089508,2.067887,-4.143709,0.247279,2.911142,-0.000000
0.135000,0.429422,11.089508,2.067887,-4.143709,0.247279,2.911142,-0.000000
0.136000,0.424437,11.129333,2.076253,-4.266035,0.216337,2.793839,-0.000000
0.137000,0.424437,11.129333,2.076253,-4.266035,0.216337,2.793839,-0.000000
0.138000,0.421732,11.167182,2.085772,-4.385431,0.186495,2.678023,0.000000
0.139000,0.421732,11.167182,2.085772,-4.385431,0.186495,2.678023,0.000000
0.140000,0.421271,11.203020,2.096419,-4.501866,0.157746,2.563701,0.000000
0.141000,0.421271,11.203020,2.096419,-4.501866,0.157746,2.563701,0.000000
0.142000,0.423019,11.236813,2.108170,-4.615306,0.130083,2.450879,-0.000000
0.143000,0.423019,11.236813,2.108170,-4.615306,0.130083,2.450879,-0.000000
0.144000,0.426939,11.268531,2.121000,-4.725722,0.103500,2.339564,-0.000000
0.145000,0.426939,11.268531,2.121000,-4.725722,0.103500,2.339564,-0.000000
0.146000,0.432994,11.298144,2.134884,-4.833085,0.077986,2.229761,-0.000000
0.147000,0.432994,11.298144,2.134884,-4.833085,0.077986,2.229761,-0.000000
0.148000,0.441144,11.325621,2.149796,-4.937366,0.053534,2.121472,0.000000
0.149000,0.441144,11.325621,2.149796,-4.937366,0.053534,2.121472,0.000000
0.150000,0.451351,11.350941,2.165713,-5.038543,0.030131,2.014704,-0.000000
0.151000,0.451351,11.350941,2.165713,-5.038543,0.030131,2.014704,-0.000000
0.152000,0.463766,11.373972,2.182775,-5.136417,0.007838,1.909449,0.000000
0.153000,0.463766,11.373972,2.182775,-5.136417,0.007838,1.909449,0.000000
0.154000,0.478888,11.394384,2.201424,-5.230456,-0.013162,1.805686,0.000000
0.155000,0.478888,11.394384,2.201424,-5.230456,-0.013162,1.805686,0.000000
0.156000,0.496867,11.412011,2.221789,-5.320411,-0.032816,1.703407,-0.000000
0.157000,0.496867,11.412011,2.221789,-5.320411,-0.032816,1.703407,-0.000000
0.158000,0.517609,11.426837,2.243794,-5.406265,-0.051167,1.602618,-0.000000
0.159000,0.517609,11.426837,2.243794,-5.406265,-0.051167,1.602618,-0.000000
0.160000,0.541017,11.438849,2.267356,-5.488010,-0.068255,1.503321,-0.000000
0.161000,0.541017,11.438849,2.267356,-5.488010,-0.068255,1.503321,-0.000000
0.162000,0.566992,11.448037,2.292396,-5.565637,-0.084120,1.405518,-0.000000
0.163000,0.566992,11.448037,2.292396,-5.565637,-0.084120,1.405518,-0.000000
0.164000,0.595432,11.454404,2.318833,-5.639155,-0.098804,1.309211,0.000000
0.165000,0.595432,11.454404,2.318833,-5.639155,-0.098804,1.309211,0.000000
0.166000,0.610506,11.456677,2.332536,-5.674551,-0.105745,1.261600,0.000000
0.167000,0.610506,11.456677,2.332536,-5.674551,-0.105745,1.261600,0.000000
0.168000,0.642460,11.458764,2.360918,-5.741883,-0.118729,1.167534,0.000000
0.169000,0.642460,11.458764,2.360918,-5.741883,-0.118729,1.167534,0.000000
0.170000,0.676534,11.458257,2.390445,-5.805556,-0.130710,1.074869,-0.000000
0.171000,0.676534,11.458257,2.390445,-5.805556,-0.130710,1.074869,-0.000000
0.172000,0.712738,11.454915,2.421112,-5.865142,-0.141642,0.983692,-0.000000
0.173000,0.712738,11.454915,2.421112,-5.865142,-0.141642,0.983692,-0.000000
0.174000,0.750970,11.448752,2.452841,-5.920667,-0.151566,0.894001,-0.000000
0.175000,0.750970,11.448752,2.452841,-5.920667,-0.151566,0.894001,-0.000000
0.176000,0.791123,11.439788,2.485552,-5.972163,-0.160522,0.805791,0.000000
0.177000,0.791123,11.439788,2.485552,-5.972163,-0.160522,0.805791,0.000000
0.178000,0.833091,11.428032,2.519167,-6.019660,-0.168549,0.719059,-0.000000
0.179000,0.833091,11.428032,2.519167,-6.019660,-0.168549,0.719059,-0.000000
0.180000,0.876769,11.413525,2.553610,-6.063214,-0.175687,0.633800,0.000000
0.181000,0.876769,11.413525,2.553610,-6.063214,-0.175687,0.633800,0.000000
0.182000,0.922050,11.396298,2.588803,-6.102873,-0.181976,0.550010,-0.000000
0.183000,0.922050,11.396298,2.588803,-6.102873,-0.181976,0.550010,-0.000000
0.184000,0.968832,11.376366,2.624672,-6.138679,-0.187452,0.467682,0.000000
0.185000,0.968832,11.376366,2.624672,-6.138679,-0.187452,0.467682,0.000000
0.186000,1.017010,11.353785,2.661144,-6.170701,-0.192155,0.386811,0.000000
0.187000,1.017010,11.353785,2.661144,-6.170701,-0.192155,0.386811,0.000000
0.188000,1.066482,11.328583,2.698147,-6.198994,-0.196119,0.307390,0.000000
0.189000,1.066482,11.328583,2.698147,-6.198994,-0.196119,0.307390,0.000000
0.190000,1.117145,11.300823,2.735612,-6.223637,-0.199384,0.229413,0.000000
0.191000,1.117145,11.300823,2.735612,-6.223637,-0.199384,0.229413,0.000000
0.192000,1.168904,11.270519,2.773470,-6.244676,-0.201982,0.152871,0.000000
0.193000,1.221659,11.237742,2.811656,-6.262200,-0.203950,0.077759,0.000000
0.194000,1.221659,11.237742,2.811656,-6.262200,-0.203950,0.077759,0.000000
0.195000,1.275167,11.202526,2.849957,-6.276199,-0.205327,0.004152,-0.000000
0.196000,1.275167,11.202526,2.849957,-6.276199,-0.205327,0.004152,-0.000000
0.197000,1.329465,11.164944,2.888441,-6.286846,-0.206142,-0.068040,-0.000000
0.198000,1.329465,11.164944,2.888441,-6.286846,-0.206142,-0.068040,-0.000000
0.199000,1.384462,11.125057,2.927051,-6.294228,-0.206427,-0.138824,0.000000
0.200000,1.384462,11.125057,2.927051,-6.294228,-0.206427,-0.138824,0.000000
0.201000,1.440070,11.082917,2.965727,-6.298423,-0.206213,-0.208210,0.000000
0.202000,1.440070,11.082917,2.965727,-6.298423,-0.206213,-0.208210,0.000000
0.203000,1.496193,11.038580,3.004407,-6.299546,-0.205534,-0.276213,0.000000
0.204000,1.496193,11.038580,3.004407,-6.299546,-0.205534,-0.276213,0.000000
0.205000,1.552735,10.992079,3.043017,-6.297720,-0.204427,-0.342859,0.000000
0.206000,1.552735,10.992079,3.043017,-6.297720,-0.204427,-0.342859,0.000000
0.207000,1.609635,10.943510,3.081534,-6.292971,-0.202907,-0.408132,0.000000
0.208000,1.609635,10.943510,3.081534,-6.292971,-0.202907,-0.408132,0.000000
0.209000,1.666815,10.892927,3.119907,-6.285377,-0.200999,-0.472039,0.000000
0.210000,1.666815,10.892927,3.119907,-6.285377,-0.200999,-0.472039,0.000000
0.211000,1.724199,10.840392,3.158088,-6.275026,-0.198729,-0.534590,-0.000000
