time,x,y,z,xdot,ydot,zdot,xddot,yddot,zddot
2.241615838383840043e+00,4.199514326399609865e-01,2.148422944560422487e-01,2.368802636256465421e-01,-1.381914954830977260e-01,-9.938119791122522473e-02,-1.278316931175531648e-02,2.084468649909628768e-01,1.072493850278247313e-01,1.287128019563776524e-02
2.381716828282829379e+00,4.027361755717061564e-01,2.020327056055243320e-01,2.352192822983397158e-01,-1.038100539297128755e-01,-8.161416558598082183e-02,-8.883803795020690786e-03,2.595844410317838524e-01,1.319091642379500995e-01,3.734236042945815459e-02
2.521817818181820048e+00,3.908636500059203822e-01,1.919738436792902680e-01,2.343910042141449379e-01,-6.545542118123993947e-02,-6.241998893825472655e-02,-2.319765989091401338e-03,2.636159364774274816e-01,1.279315384532617450e-01,4.407083887753967394e-02
2.661918808080809384e+00,3.843954369682121008e-01,1.845425011260573567e-01,2.345692792755282863e-01,-2.994434662243920797e-02,-4.576749523277549164e-02,3.464932509823704081e-03,2.277403509343203514e-01,1.018828285300513031e-01,2.663508608096075078e-02
2.802019797979800053e+00,3.824731847985559652e-01,1.791497009046719713e-01,2.353618851632639231e-01,-1.642123969556667264e-03,-3.387221867671624809e-02,5.143437862883417332e-03,1.772386725815496278e-01,6.918033417736245416e-02,-6.251721825776601627e-03
2.942120787878789390e+00,3.839353105808686051e-01,1.750514383926913553e-01,2.360104807476761102e-01,1.971828033167692326e-02,-2.638302863319268166e-02,1.713187677094859043e-03,1.453617401093127426e-01,4.679741556438601902e-02,-3.466337824482398217e-02
3.082221777777780058e+00,3.879982859857034061e-01,1.717571240485845918e-01,2.358419237421514048e-01,3.908852339595218078e-02,-2.075949018614648908e-02,-4.569309347802486161e-03,1.573532674595944647e-01,4.503240227603295953e-02,-3.927566808978986274e-02
3.222322767676769395e+00,3.948879922237940598e-01,1.692345881429363763e-01,2.347301512221124375e-01,6.380897740153633479e-02,-1.376486036038919274e-02,-9.291932279552600829e-03,2.151970434055799908e-01,6.226755338155736536e-02,-1.438698684302633542e-02
3.362423757575760064e+00,4.058776877824984419e-01,1.679001829239608057e-01,2.332383059212720100e-01,9.938716100486749694e-02,-3.311998451457722360e-03,-8.600571544545953032e-03,2.911501288513597130e-01,8.470739493280415866e-02,2.677069292610873008e-02
3.502524747474749400e+00,4.227364715038585130e-01,1.683065596197500791e-01,2.323202540479364919e-01,1.453898199241242528e-01,9.970319403311899559e-03,-1.790731121093160939e-03,3.334802790478945123e-01,9.267089718182194846e-02,5.932147854682415233e-02
3.642625737373740069e+00,4.466162031677098354e-01,1.706938861599870128e-01,2.327365395158558503e-01,1.928289954176703180e-01,2.265457040854381918e-02,8.021424188817561501e-03,2.891814957414453602e-01,6.982188084945259443e-02,6.306478595260774089e-02
3.782726727272729406e+00,4.767675377823453187e-01,1.746544150996967859e-01,2.345678729864425771e-01,2.264190475518183254e-01,2.953454865054716896e-02,1.588014675836335599e-02,1.360410550488963533e-01,1.073331628445126258e-02,3.600720753024976017e-02
3.922827717171720074e+00,5.100592685557022721e-01,1.789695251643100837e-01,2.371861880770317343e-01,2.309479683761770374e-01,2.566206688124495969e-02,1.811071502579027215e-02,-1.011758901335932381e-01,-7.454628395120348194e-02,-5.966628314671149243e-03
4.062928707070709855e+00,5.414796157516713615e-01,1.818449770455297931e-01,2.396425311922260326e-01,1.980693628285626062e-01,8.646532300837582452e-03,1.420828569187381624e-02,-3.586619623774851551e-01,-1.645343156364937887e-01,-4.142990439052296470e-02
4.203029696969699636e+00,5.655586961575899130e-01,1.813923006333919563e-01,2.411673778574300875e-01,1.304501764397771324e-01,-2.044077410480631823e-02,6.501973792724721236e-03,-5.656202569294868088e-01,-2.338381955904860476e-01,-5.725904822179159886e-02
4.343130686868689416e+00,5.780320134550926969e-01,1.761174316727597833e-01,2.414643971215420792e-01,3.958144702307835744e-02,-5.687539305600385064e-02,-1.835812981220187384e-03,-6.786492225418419011e-01,-2.579091870603391623e-01,-5.436318495849579852e-02
4.483231676767680085e+00,5.766494959767253237e-01,1.654557028973114019e-01,2.406529794255533594e-01,-5.970867930480677765e-02,-9.270743892720087476e-02,-8.730698260769560737e-03,-6.824046025440215768e-01,-2.224320590017842270e-01,-4.191346080961966258e-02
4.623332666666669866e+00,5.613015233027631723e-01,1.501406237433577928e-01,2.390180381838556689e-01,-1.516296736330100259e-01,-1.192012963588448549e-01,-1.358004768026065644e-02,-5.732240567158582989e-01,-1.345542409495089908e-01,-2.682750148400233139e-02
4.763433656565659646e+00,5.341625612286343694e-01,1.320552636630773491e-01,2.368478231797933597e-01,-2.203271948644197620e-01,-1.304098036314677023e-01,-1.624781728962025606e-02,-3.646504829356904676e-01,-2.234342721433870901e-02,-9.184260416350497128e-03
4.903534646464649427e+00,4.995654070984174577e-01,1.135995385807547636e-01,2.344653676119082264e-01,-2.538054608858799632e-01,-1.254619688997746230e-01,-1.615349563190228432e-02,-1.024087664174173212e-01,7.820729008549175132e-02,1.316141374394247388e-02
5.043635636363640096e+00,4.630457686048720656e-01,9.690057158800792492e-02,2.323215817230763203e-01,-2.490223339632489652e-01,-1.084959661148779952e-01,-1.255996310162723305e-02,1.442473550940696070e-01,1.390346881101237886e-01,3.691725140348440376e-02
5.183736626262629876e+00,4.297888561080013825e-01,8.319875407527141387e-02,2.309460410846427003e-01,-2.133870664078994506e-01,-8.650417403072328815e-02,-5.809208699946204896e-03,3.133012723171572644e-01,1.514757875499742334e-01,5.128383499941862461e-02
5.323837616161619657e+00,4.032542901340956387e-01,7.266193076381026461e-02,2.306938299442917450e-01,-1.612346971867554823e-01,-6.605215055191702989e-02,1.809868996842794574e-03,3.779242615439649677e-01,1.279644933412479868e-01,4.485844839038996557e-02
5.463938606060609438e+00,3.846105747441447287e-01,6.469081072071003469e-02,2.314531699607330351e-01,-1.074919401095909277e-01,-5.064826965266019249e-02,6.760217349706564710e-03,3.545891498397702457e-01,9.156877111138925218e-02,1.649267517719743212e-02
5.604039595959600106e+00,3.731348357030623841e-01,5.847018533379293864e-02,2.325880562295441767e-01,-6.187811538676933620e-02,-4.039439959883769915e-02,6.431149233658512397e-03,2.899761511788774282e-01,6.043201075524209237e-02,-1.982979698347767800e-02
5.744140585858589887e+00,3.672722043066041220e-01,5.337221998036498910e-02,2.332551907083804110e-01,-2.624004845507117017e-02,-3.371510059586854680e-02,1.203868975944110548e-03,2.354491740405660061e-01,3.971517253988855745e-02,-4.234661722025217373e-02
5.884241575757579668e+00,3.657823221759565202e-01,4.902314739774252250e-02,2.329253827000210830e-01,4.095209321196378351e-03,-2.926612962514256108e-02,-5.434456749203372787e-03,2.224098693167252949e-01,2.579012579457686319e-02,-3.660563069468546205e-02
6.024342565656569448e+00,3.684196900660904883e-01,4.517179251837573351e-02,2.317324451681271325e-01,3.607963725408522976e-02,-2.648865628898916177e-02,-9.053101216460456360e-03,2.506171264836764001e-01,1.525740322432097770e-02,-5.954392466013152738e-03
6.164443555555560117e+00,3.758919079649441497e-01,4.160097346337954943e-02,2.303886858158573636e-01,7.431862433320322869e-02,-2.499097503511174198e-02,-7.102889306674433495e-03,2.938947422970121237e-01,9.104372924428798600e-03,3.111209540525087733e-02
6.304544545454549898e+00,3.892439157401163530e-01,3.816927183645553445e-02,2.297422015221110558e-01,1.184295258979251170e-01,-2.393759297074508907e-02,-3.354304882455290816e-04,3.174939411330960359e-01,1.003980261509260924e-02,5.373485469654497998e-02
6.444645535353539678e+00,4.090760955880788918e-01,3.489361252137856972e-02,2.302946975289663634e-01,1.632810552125600057e-01,-2.217780246558185772e-02,7.953723363454245215e-03,2.960142361681166179e-01,1.802820236604390364e-02,5.117859501417278134e-02
6.584746525252529459e+00,4.349955906741789224e-01,3.195500767803097913e-02,2.319708505553163824e-01,2.013733009206181701e-01,-1.888605497558096258e-02,1.400491315800470558e-02,2.232504661698704040e-01,2.895439263173938196e-02,2.704896990879561078e-02
6.724847515151510358e+00,4.655012931844904611e-01,2.960170252664729579e-02,2.342189019227380598e-01,2.258362778241796154e-01,-1.406472432632044356e-02,1.553289828339475716e-02,1.118535224619873897e-01,3.696920561121876808e-02,-5.169698430415749398e-03
6.864948505050509908e+00,4.982753628307206584e-01,2.801404407648318273e-02,2.363231994063242358e-01,2.327148793618448452e-01,-8.527210371758879234e-03,1.255635342284370376e-02,-1.410173066749150460e-02,3.787399146841568393e-02,-3.038038031460486843e-02
7.005049494949499689e+00,5.307084631101274264e-01,2.721236129832659001e-02,2.377372170108620064e-01,2.218849449725706080e-01,-3.452356934018570127e-03,7.020255572226898229e-03,-1.288043825031147394e-01,3.097579092255441785e-02,-3.873102155811181113e-02
7.145150484848489469e+00,5.604479636994007530e-01,2.704668682860189577e-02,2.382902889163500126e-01,1.966236363778158247e-01,1.522675705491613669e-04,1.703844502662536960e-03,-2.126594340110339321e-01,1.872572714775020200e-02,-2.847079698787473301e-02
7.285251474747470368e+00,5.858027952982695075e-01,2.725502697305349359e-02,2.382146376137759536e-01,1.622973505399610550e-01,1.794628885937814581e-03,-9.573181102019633027e-04,-2.563956558066500246e-01,5.020227413671007541e-03,-4.932980450907118938e-03
7.425352464646470807e+00,6.059240026366645715e-01,2.754954539544431438e-02,2.380220464865749619e-01,1.247810660091910884e-01,1.558945230895869430e-03,3.216136140136308455e-04,-2.611171304560627182e-01,-6.575570224118110554e-03,2.276694597297662312e-02
7.565453454545458811e+00,6.207666970353472591e-01,2.769184651314713502e-02,2.383047543851525563e-01,8.913181362700489663e-02,-4.785890916072610239e-05,5.422025225379730959e-03,-2.354483771092949207e-01,-1.389617095806329646e-02,4.549066907330917564e-02
7.705554444444449480e+00,6.308989132779359021e-01,2.753613523434650726e-02,2.395413086892409504e-01,5.880796460294530209e-02,-2.334789383164656562e-03,1.306818915068959537e-02,-1.914942287686693390e-01,-1.639711504832309236e-02,5.693015955172445186e-02
7.845655434343430379e+00,6.372448051449820516e-01,2.703763390557309410e-02,2.419664868575502614e-01,3.547475160613648010e-02,-4.642363008676105018e-03,2.137396864198779292e-02,-1.411532618175740383e-01,-1.479350905187479595e-02,5.490515538711307486e-02
7.985756424242430818e+00,6.408390089108169096e-01,2.623533592837455630e-02,2.455303370188658685e-01,1.925654118671846216e-02,-6.479959907659310105e-03,2.845272239127439803e-02,-9.368778936958599424e-02,-1.047469051747472978e-02,4.112997502909220698e-02
8.125857414141410828e+00,6.426405261095619048e-01,2.522193631043542078e-02,2.499389960022276591e-01,9.223247541882355349e-03,-7.577392029443650277e-03,3.289866907418090292e-02,-5.474985815727028554e-02,-4.963129960878645899e-03,1.993410809925251492e-02
8.265958404040400609e+00,6.434233811322191965e-01,2.411213568001901314e-02,2.547486092261699309e-01,3.915522537392751232e-03,-7.870638748692176945e-03,3.403829894619189722e-02,-2.656711375880573683e-02,4.537534518989194254e-04,-3.406156242686967338e-03
8.406059393939390390e+00,6.437376632764829631e-01,2.301656775077717820e-02,2.594765947559061203e-01,1.779089669146837740e-03,-7.450249413881405644e-03,3.194425735147876644e-02,-8.791168740724749145e-03,4.899754945969472114e-03,-2.414977647556114382e-02
8.546160383838380170e+00,6.439218855797522734e-01,2.202456104426070427e-02,2.636994533792304529e-01,1.452219651503562940e-03,-6.497717712306587054e-03,2.727148376606098462e-02,4.562244352661703030e-04,7.933896325027885860e-03,-3.904259946526449088e-02
8.686261373737371727e+00,6.441445780979357938e-01,2.119589438362047204e-02,2.671181184991848756e-01,1.906924659140633947e-03,-5.227155956096675611e-03,2.100444368485210669e-02,3.653804071638685948e-03,9.480306915615440214e-03,-4.665226320226902035e-02
8.826362363636357955e+00,6.444562096445690669e-01,2.055990159664961361e-02,2.695849400842811883e-01,2.476022786170642507e-03,-3.841316945458661015e-03,1.419942725472876296e-02,3.216247878964982165e-03,9.716689688633872723e-03,-4.719452302685978040e-02
8.966463353535349512e+00,6.448383645846457179e-01,2.011954977047142670e-02,2.710968261279572689e-01,2.808123682347675367e-03,-2.504520268258848392e-03,7.780444897104649322e-03,1.115666319462003259e-03,8.959386595070310474e-03,-4.205422096161758744e-02
9.106564343434339293e+00,6.452430514598804789e-01,1.985813005903931672e-02,2.717650361481590005e-01,2.788634697677821236e-03,-1.330879083744478239e-03,2.415751282421811901e-03,-1.261323068158498985e-03,7.567310400090178704e-03,-3.320934449716640702e-02
9.246665333333330850e+00,6.456197455478683844e-01,1.974663481633450249e-02,2.717737244199913693e-01,2.454698461484801711e-03,-3.841449124077372002e-04,-1.524879178794525444e-03,-3.096911613870931019e-03,5.874088386558378588e-03,-2.271558053967634785e-02
9.386766323232320630e+00,6.459308628285955756e-01,1.975049189405334721e-02,2.713377619833080567e-01,1.920873932211829456e-03,3.150521116775005992e-04,-3.949199357055964248e-03,-4.038240112888775817e-03,4.148841798247998418e-03,-1.233791056834109869e-02
9.526867313131310411e+00,6.461579782266164695e-01,1.983491304176607239e-02,2.706671509415273791e-01,1.323175586953749061e-03,7.783687733299626604e-04,-4.981986146614120030e-03,-4.061904020136615327e-03,2.580905914741485774e-03,-3.351780571213882568e-03
9.666968303030300191e+00,6.463016192476803701e-01,1.996859236535332774e-02,2.699417996017006716e-01,7.827203840201764308e-04,1.038227058660381097e-03,-4.888374908958497897e-03,-3.342703223043111578e-03,1.281688101169236194e-03,3.507530540834396388e-03
9.807069292929289972e+00,6.463772980278471580e-01,2.012582631908254455e-02,2.692974186140424386e-01,3.865435259799809126e-04,1.137500316761096142e-03,-3.999169144870443234e-03,-2.145613319898337194e-03,2.968104293144614215e-04,7.990386200406986508e-03
9.947170282828279753e+00,6.464099295089380526e-01,2.028732220613061604e-02,2.688212244897609793e-01,1.815152839037461469e-04,1.121393928578981545e-03,-2.649452876254002574e-03,-7.477341557752353830e-04,-3.771950505565220589e-04,1.022000283813733618e-02
1.008727127272729973e+01,6.464281589697605801e-01,2.044004311800380960e-02,2.685550366727346150e-01,1.770269351691889086e-04,1.031809516825159560e-03,-1.135504116083388849e-03,6.106567033896953415e-04,-7.757746104936401408e-04,1.056108104728445754e-02
1.022737226262630017e+01,6.464595328066500279e-01,2.057643727551942275e-02,2.685030539883656586e-01,3.526225011704465324e-04,9.040203468416569115e-04,3.097829420020248152e-04,1.750793680575535869e-03,-9.513651395833712518e-04,9.497563344024573251e-03
1.036747325252530061e+01,6.465269644927098547e-01,2.069335140896649827e-02,2.686418384663912251e-01,6.676027906842459374e-04,7.652351212031174897e-04,1.525731936169018397e-03,2.562144199075235603e-03,-9.617409607963771281e-04,7.534979175563108998e-03
1.050757424242419980e+01,6.466465964303184100e-01,2.079085767149148334e-02,2.689305670975212226e-01,1.070540378279236961e-03,6.345386255737007260e-04,2.421099024731357928e-03,2.997331113010275397e-03,-8.619449225134668885e-04,5.132846103625045980e-03
1.064767523232320023e+01,6.468269320261573752e-01,2.087115038811053827e-02,2.693202352064079097e-01,1.507460902659807540e-03,5.237164474380277346e-04,2.963965576403103028e-03,3.060489822693207400e-03,-6.994567782001333408e-04,2.665769718736950289e-03
1.078777622222220067e+01,6.470689899597117378e-01,2.093760405691638335e-02,2.697610761200824325e-01,1.928095685749441936e-03,4.385494515389068968e-04,3.168052977606955218e-03,2.793041892719089637e-03,-5.119554650409823124e-04,4.080934746640905281e-04
1.092787721212119934e+01,6.473671882545443124e-01,2.099403281267105820e-02,2.702079299228382636e-01,2.290076770658393268e-03,3.802655125651490352e-04,3.078314175946617916e-03,2.259612863520500583e-03,-3.269511640865467258e-04,-1.464458170810584506e-03
1.106797820202019977e+01,6.477106740047395839e-01,2.104415520638603168e-02,2.706236258466228617e-01,2.561243683684868641e-03,3.469370880646023385e-04,2.757708898814501333e-03,1.535734428204761116e-03,-1.626164091651830478e-04,-2.862519604829186302e-03
1.120807919191920021e+01,6.480848538054578833e-01,2.109124527161210585e-02,2.709806454159925937e-01,2.720392597885285847e-03,3.347000727694263936e-04,2.276230515462948981e-03,6.981213056901355374e-04,-2.926685910673858287e-05,-3.765532293408220283e-03
1.134818018181820065e+01,6.484729333964948106e-01,2.113793882941455288e-02,2.712614301435321562e-01,2.756858655678395310e-03,3.387364562004256522e-04,1.702599295208290491e-03,-1.822905025836496831e-04,6.891524721882508252e-05,-4.202847520261370450e-03
1.148828117171719931e+01,6.488573310588021670e-01,2.118615989726921681e-02,2.714577171093126018e-01,2.669314438162978444e-03,3.540102614784084042e-04,1.098584319496682688e-03,-1.044741939042925088e-03,1.321874272476354910e-04,-4.236073477181065416e-03
1.162838216161619975e+01,6.492208805867714094e-01,2.123713320554960343e-02,2.715692556448301431e-01,2.464119895980587324e-03,3.757756350196145420e-04,5.156431203324433193e-04,-1.840892443789366589e-03,1.637436849417660864e-04,-3.944112070463704801e-03
