time,tau1,tau2,tau3,tau4,tau5,tau6,tau7
0,-2.49652e-13,-0.147109,-2.07577e-13,0.540141,1.8656e-12,2.94312e-11,-2.23314e-12
0,-2.49964e-13,-0.148684,-2.07824e-13,0.539231,1.86924e-12,2.95314e-11,-2.22309e-12
0,-2.50268e-13,-0.150254,-2.08064e-13,0.538311,1.87282e-12,2.96312e-11,-2.21302e-12
0,-2.50562e-13,-0.151819,-2.08295e-13,0.537379,1.87634e-12,2.97309e-11,-2.20292e-12
0,-2.50847e-13,-0.153378,-2.0852e-13,0.536436,1.87981e-12,2.98303e-11,-2.19281e-12
0,-2.51124e-13,-0.154933,-2.08736e-13,0.535482,1.88321e-12,2.99295e-11,-2.18269e-12
0,-2.51391e-13,-0.156482,-2.08945e-13,0.534517,1.88655e-12,3.00285e-11,-2.17255e-12
0,-2.51649e-13,-0.158026,-2.09147e-13,0.533542,1.88984e-12,3.01273e-11,-2.16239e-12
0,-2.51899e-13,-0.159564,-2.09341e-13,0.532557,1.89307e-12,3.02258e-11,-2.14779e-12
0,-2.5214e-13,-0.161097,-2.09528e-13,0.531562,1.89624e-12,3.03242e-11,-2.13318e-12
0,-2.52372e-13,-0.162624,-2.09707e-13,0.530556,1.89935e-12,3.04223e-11,-2.11856e-12
0,-2.52595e-13,-0.164145,-2.09879e-13,0.52954,1.90241e-12,3.05203e-11,-2.10392e-12
0,-2.5281e-13,-0.16566,-2.10044e-13,0.528515,1.90541e-12,3.0618e-11,-2.08929e-12
0,-2.53016e-13,-0.167169,-2.10202e-13,0.52748,1.90836e-12,3.07156e-11,-2.07466e-12
0,-2.53214e-13,-0.168672,-2.10352e-13,0.526436,1.91125e-12,3.0813e-11,-2.06002e-12
0,-2.53404e-13,-0.170169,-2.10496e-13,0.525383,1.91408e-12,3.09102e-11,-2.04538e-12
0,-2.53585e-13,-0.17166,-2.10632e-13,0.52432,1.91687e-12,3.10072e-11,-2.03075e-12
0,-2.53758e-13,-0.173145,-2.10762e-13,0.523248,1.91959e-12,3.1104e-11,-2.01612e-12
0,-2.53922e-13,-0.174623,-2.10885e-13,0.522167,1.92226e-12,3.12007e-11,-2.0015e-12
0,-2.54079e-13,-0.176094,-2.11001e-13,0.521078,1.92488e-12,3.12883e-11,-1.98688e-12
0,-2.54227e-13,-0.177559,-2.1111e-13,0.51998,1.92745e-12,3.13758e-11,-1.97227e-12
0,-2.54367e-13,-0.179017,-2.11212e-13,0.518874,1.92996e-12,3.14631e-11,-1.95767e-12
0,-2.545e-13,-0.180469,-2.11308e-13,0.517759,1.93242e-12,3.15503e-11,-1.94308e-12
0,-2.54624e-13,-0.181914,-2.11397e-13,0.516637,1.93483e-12,3.16373e-11,-1.92851e-12
0,-2.54741e-13,-0.183352,-2.11479e-13,0.515506,1.93719e-12,3.17242e-11,-1.91394e-12
0,-2.5485e-13,-0.184783,-2.11555e-13,0.514367,1.93949e-12,3.18109e-11,-1.8994e-12
0,-2.54951e-13,-0.186207,-2.11624e-13,0.513221,1.94175e-12,3.18975e-11,-1.88487e-12
0,-2.55044e-13,-0.187623,-2.11687e-13,0.512067,1.94395e-12,3.19839e-11,-1.87036e-12
0,-2.5513e-13,-0.189033,-2.11744e-13,0.510905,1.94611e-12,3.20702e-11,-1.85587e-12
0,-2.55208e-13,-0.190435,-2.11794e-13,0.509737,1.94821e-12,3.21564e-11,-1.84141e-12
0,-2.55279e-13,-0.19183,-2.11838e-13,0.508561,1.95027e-12,3.22425e-11,-1.82696e-12
0,-2.55343e-13,-0.193218,-2.11876e-13,0.507378,1.95227e-12,3.23284e-11,-1.81254e-12
0,-2.55399e-13,-0.194598,-2.11907e-13,0.506188,1.95423e-12,3.24143e-11,-1.79815e-12
0,-2.55448e-13,-0.19597,-2.11933e-13,0.504991,1.95614e-12,3.25e-11,-1.78378e-12
0,-2.55489e-13,-0.197335,-2.11953e-13,0.503788,1.95801e-12,3.25856e-11,-1.76945e-12
0,-2.55524e-13,-0.198692,-2.11966e-13,0.502578,1.95982e-12,3.26711e-11,-1.75514e-12
0,-2.55551e-13,-0.200042,-2.11974e-13,0.501362,1.96159e-12,3.27566e-11,-1.74086e-12
0,-2.55571e-13,-0.201383,-2.11975e-13,0.500139,1.96331e-12,3.28419e-11,-1.72661e-12
0,-2.55584e-13,-0.202717,-2.11971e-13,0.49891,1.96499e-12,3.29271e-11,-1.70796e-12
0,-2.55591e-13,-0.204043,-2.11961e-13,0.497675,1.96661e-12,3.30122e-11,-1.68935e-12
0,-2.5559e-13,-0.20536,-2.11946e-13,0.496435,1.9682e-12,3.30973e-11,-1.67077e-12
0,-2.55583e-13,-0.20667,-2.11925e-13,0.495188,1.96974e-12,3.31822e-11,-1.65222e-12
0,-2.55569e-13,-0.207972,-2.11898e-13,0.493936,1.97123e-12,3.32671e-11,-1.63372e-12
0,-2.55548e-13,-0.209265,-2.11865e-13,0.492678,1.97268e-12,3.33519e-11,-1.61526e-12
0,-2.55521e-13,-0.21055,-2.11827e-13,0.491415,1.97409e-12,3.34366e-11,-1.59684e-12
0,-2.55487e-13,-0.211826,-2.11784e-13,0.490147,1.97545e-12,3.35213e-11,-1.57846e-12
0,-2.55446e-13,-0.213095,-2.11735e-13,0.488873,1.97677e-12,3.36059e-11,-1.56012e-12
0,-2.554e-13,-0.214354,-2.1168e-13,0.487595,1.97805e-12,3.36904e-11,-1.54183e-12
0,-2.55346e-13,-0.215606,-2.11621e-13,0.486311,1.97929e-12,3.3766e-11,-1.52358e-12
0,-2.55287e-13,-0.216848,-2.11556e-13,0.485023,1.98048e-12,3.38415e-11,-1.50539e-12
0,-2.55221e-13,-0.218082,-2.11486e-13,0.483729,1.98163e-12,3.3917e-11,-1.48724e-12
0,-2.55149e-13,-0.219308,-2.11411e-13,0.482432,1.98274e-12,3.39924e-11,-1.46914e-12
0,-2.55071e-13,-0.220524,-2.11331e-13,0.481129,1.98381e-12,3.40678e-11,-1.45109e-12
0,-2.54987e-13,-0.221732,-2.11246e-13,0.479823,1.98483e-12,3.41431e-11,-1.4331e-12
0,-2.54897e-13,-0.222931,-2.11155e-13,0.478512,1.98582e-12,3.42184e-11,-1.41515e-12
0,-2.54801e-13,-0.224121,-2.1106e-13,0.477197,1.98677e-12,3.42937e-11,-1.39726e-12
0,-2.54699e-13,-0.225303,-2.1096e-13,0.475878,1.98768e-12,3.43689e-11,-1.37943e-12
0,-2.54591e-13,-0.226475,-2.10855e-13,0.474555,1.98855e-12,3.44441e-11,-1.36165e-12
0,-2.54478e-13,-0.227638,-2.10746e-13,0.473228,1.98938e-12,3.45192e-11,-1.34393e-12
0,-2.54358e-13,-0.228792,-2.10631e-13,0.471897,1.99018e-12,3.45943e-11,-1.32626e-12
