time,x_mpc,y_mpc,z_mpc,vx_mpc,vy_mpc,vz_mpc
5.500010969945355654e+00,4.730724722582682062e-01,1.066743224564966619e-01,3.244101529397427908e-01,1.916516414434519047e-02,5.342052687998688487e-02,-8.530992527985348239e-02
5.600011169398907640e+00,4.748627509956223069e-01,1.117526157593984881e-01,3.161434739348887857e-01,1.664033918738844903e-02,4.814513660172627108e-02,-8.002332505418700836e-02
5.700011368852459626e+00,4.764411954078052180e-01,1.163023149297515574e-01,3.084029285867254666e-01,1.492848609112691974e-02,4.284866531496519387e-02,-7.478727313384286868e-02
5.800011568306010723e+00,4.778761873727197518e-01,1.203248143010377941e-01,3.011821061094215324e-01,1.377129596442949050e-02,3.760116165072201894e-02,-6.962888836907230039e-02
5.900011767759562709e+00,4.792099858877475471e-01,1.238288296850287434e-01,2.944729708334491436e-01,1.290462113006277459e-02,3.247900625171282890e-02,-6.455354951873666647e-02
6.000011967213114694e+00,4.804590156716805338e-01,1.268305357198243888e-01,2.882686211382655128e-01,1.207592472401046620e-02,2.755499470425304409e-02,-5.953319688951232147e-02
6.100012166666666680e+00,4.816210295948683551e-01,1.293539495060724853e-01,2.825660927535205702e-01,1.116430738627726370e-02,2.291318036014113046e-02,-5.451714332793133194e-02
6.200012366120218665e+00,4.826877075254280558e-01,1.314312789257726655e-01,2.773673598732602219e-01,1.016920867446140415e-02,1.863332516788148568e-02,-4.945730689654161127e-02
6.300012565573770651e+00,4.836525895905850470e-01,1.331019159263418794e-01,2.726781431681880585e-01,9.128394138924359608e-03,1.477934820073904115e-02,-4.432684014908896269e-02
6.400012765027322637e+00,4.845139186122892072e-01,1.344107395145903716e-01,2.685047073842089516e-01,8.098151936200854301e-03,1.139707135443228728e-02,-3.914170904950612512e-02
6.500012964480874622e+00,4.852763101445076166e-01,1.354059637315471465e-01,2.648490193260742420e-01,7.149648295888110655e-03,8.507373284581473336e-03,-3.397190628548465985e-02
6.600013163934426608e+00,4.859507134652810145e-01,1.361364362582678789e-01,2.617040628090264165e-01,6.338391217205655015e-03,6.102048110823451652e-03,-2.892709860117216245e-02
6.700013363387978593e+00,4.865529808250657617e-01,1.366492567539716319e-01,2.590511447118458710e-01,5.706931953663549328e-03,4.154341346518566208e-03,-2.413115751586239130e-02
6.800013562841530579e+00,4.871028809357271783e-01,1.369886717774114471e-01,2.568594285221844631e-01,5.291048323702337956e-03,2.633945582798277903e-03,-1.970307884842366353e-02
6.900013762295082564e+00,4.876213188692996581e-01,1.371945530040984129e-01,2.550891226042735771e-01,5.077689666930952986e-03,1.483670738208760480e-03,-1.570296889117420505e-02
7.000013961748634550e+00,4.881249980372417974e-01,1.373008192675291839e-01,2.536966038563390757e-01,4.995873599832461112e-03,6.416502913784114274e-04,-1.214735051906436561e-02
7.100014161202185647e+00,4.886249165658534954e-01,1.373365923099712782e-01,2.526348382870180487e-01,5.002477030335451998e-03,7.380913045454905695e-05,-9.087918512857468684e-03
7.200014360655737633e+00,4.891299081299586016e-01,1.373271364662196625e-01,2.518542143151419332e-01,5.097334107334543403e-03,-2.629256282875361002e-04,-6.524529785081551250e-03
7.300014560109289619e+00,4.896495707079743243e-01,1.372938427558316465e-01,2.513062494350197795e-01,5.295896723311426836e-03,-4.029472513653420233e-04,-4.434745958696702239e-03
7.400014759562841604e+00,4.901936720397913061e-01,1.372546687930331633e-01,2.509456182342089114e-01,5.586108208482288076e-03,-3.805304419303482907e-04,-2.777863671714284229e-03
7.500014959016393590e+00,4.907709610643911091e-01,1.372235715662961097e-01,2.507309979665286459e-01,5.959649255090395011e-03,-2.414128523229903012e-04,-1.514533120552673078e-03
7.600015158469945575e+00,4.913899642679379065e-01,1.372094028379931274e-01,2.506269122181342679e-01,6.420390123417221533e-03,-4.196114853740874574e-05,-5.671776952891879669e-04
7.700015357923497561e+00,4.920610435339123345e-01,1.372160360506735899e-01,2.506042930675771441e-01,7.001168426296270307e-03,1.746251375439987897e-04,1.147955864392181512e-04
7.800015557377049547e+00,4.927969605460107982e-01,1.372438179250055901e-01,2.506395398414991704e-01,7.717142459479467247e-03,3.810112408596024467e-04,5.901384859854246802e-04
7.900015756830601532e+00,4.936121068109714516e-01,1.372910230305788848e-01,2.507143440016262881e-01,8.585750323034536252e-03,5.630889875653725778e-04,9.059417325722259225e-04
