time,x_desired,y_desired,z_desired
1.329499437556527823e+02,5.257629884959311717e-01,-7.998626936989494999e-05,7.429983181975068351e-01
1.329599437514223155e+02,5.257524230308248114e-01,-8.676936332427173247e-05,7.429632783676364260e-01
1.329699437471918202e+02,5.257418891021039542e-01,-9.345852379565447248e-05,7.429283377588835613e-01
1.329799437429613249e+02,5.257313868489342790e-01,-1.000538184127771767e-04,7.428934968645587444e-01
1.329899437387308296e+02,5.257209164096003917e-01,-1.065553172400032409e-04,7.428587561755471969e-01
1.329999437345003628e+02,5.257104779215036050e-01,-1.129630927782148618e-04,7.428241161803023074e-01
1.330099437302698675e+02,5.257000715211600506e-01,-1.192772199656777694e-04,7.427895773648393041e-01
1.330199437260393722e+02,5.256896973441982368e-01,-1.254977761788812806e-04,7.427551402127289260e-01
1.330299437218088769e+02,5.256793555253572725e-01,-1.316248412333537003e-04,7.427208052050912057e-01
1.330399437175784101e+02,5.256690461984847573e-01,-1.376584973844531253e-04,7.426865728205892525e-01
1.330499437133479148e+02,5.256587694965345614e-01,-1.435988293281336629e-04,7.426524435354229237e-01
1.330599437091174195e+02,5.256485255515649380e-01,-1.494459242016871615e-04,7.426184178233227184e-01
1.330699437048869243e+02,5.256383144947364139e-01,-1.551998715844603283e-04,7.425844961555437829e-01
1.330799437006564574e+02,5.256281364563099023e-01,-1.608607634985475079e-04,7.425506790008595814e-01
1.330899436964259621e+02,5.256179915656445933e-01,-1.664286944094589299e-04,7.425169668255559019e-01
1.330999436921954668e+02,5.256078799511960664e-01,-1.719037612267645899e-04,7.424833600934250821e-01
1.331099436879649716e+02,5.255978017405139591e-01,-1.772860633047138165e-04,7.424498592657596818e-01
1.331199436837344763e+02,5.255877570602405235e-01,-1.825757024428303356e-04,7.424164648013465984e-01
1.331299436795040094e+02,5.255777460361084064e-01,-1.877727828864832389e-04,7.423831771564614046e-01
1.331399436752735141e+02,5.255677687929386499e-01,-1.928774113274335836e-04,7.423499967848620207e-01
1.331499436710430189e+02,5.255578254546389161e-01,-1.978896969043567890e-04,7.423169241377833849e-01
1.331599436668125236e+02,5.255479161442013769e-01,-2.028097512033408267e-04,7.422839596639312365e-01
1.331699436625820567e+02,5.255380409837011602e-01,-2.076376882583602613e-04,7.422511038094764535e-01
1.331799436583515615e+02,5.255282000942940179e-01,-2.123736245517261669e-04,7.422183570180495016e-01
1.331899436541210662e+02,5.255183935962147723e-01,-2.170176790145120292e-04,7.421857197307344389e-01
1.331999436498905709e+02,5.255086216087754281e-01,-2.215699730269554690e-04,7.421531923860633650e-01
1.332099436456601040e+02,5.254988842503630631e-01,-2.260306304188360873e-04,7.421207754200109807e-01
1.332199436414296088e+02,5.254891816384382741e-01,-2.303997774698292669e-04,7.420884692659887039e-01
1.332299436371991135e+02,5.254795138895332896e-01,-2.346775429098360414e-04,7.420562743548391182e-01
1.332399436329686182e+02,5.254698811192500818e-01,-2.388640579192890568e-04,7.420241911148307556e-01
1.332499436287381229e+02,5.254602834422585911e-01,-2.429594561294347354e-04,7.419922199716523226e-01
1.332599436245076561e+02,5.254507209722948380e-01,-2.469638736225915321e-04,7.419603613484072602e-01
1.332699436202771608e+02,5.254411938221593692e-01,-2.508774489323845297e-04,7.419286156656085263e-01
1.332799436160466655e+02,5.254317021037152591e-01,-2.547003230439560170e-04,7.418969833411729331e-01
1.332899436118161702e+02,5.254222459278866664e-01,-2.584326393941527582e-04,7.418654647904160404e-01
1.332999436075857034e+02,5.254128254046567248e-01,-2.620745438716892196e-04,7.418340604260467153e-01
