time,ax,ay,az
1.070002134153005535e+01,-2.891560575416935591e-02,7.904282327675082051e-04,-1.285936212960498305e-03
1.080002154098360734e+01,-3.623134407968499338e-02,3.287132094384255521e-03,-1.386367620736171993e-03
1.090002174043715932e+01,-4.283381806844174106e-02,5.720273606269256697e-03,-1.252683718609674248e-03
1.100002193989071131e+01,-4.620603022866904414e-02,7.367647344895546756e-03,-1.053695814936271352e-03
1.110002213934426329e+01,-4.820690121587233035e-02,8.823067993293439229e-03,-8.258055605326996684e-04
1.120002233879781528e+01,-4.635875051078211517e-02,7.373747319467025690e-03,-6.418832009976143792e-04
1.130002253825136727e+01,-4.458356895125895752e-02,5.850096960005672989e-03,-5.912721143404461822e-04
1.140002273770491925e+01,-4.219738971554985035e-02,3.459309702306874804e-03,-6.623746812239031043e-04
1.150002293715847124e+01,-3.955456813605710831e-02,6.852967240459652797e-04,-8.151916544497586495e-04
1.160002313661202145e+01,-3.683293873081910225e-02,-1.993352069078150636e-03,-1.005207393320574176e-03
1.170002333606557343e+01,-3.406139860115697110e-02,-4.340562756875899694e-03,-1.200661357987093530e-03
1.180002353551912542e+01,-3.111634465850362727e-02,-6.483996533612351038e-03,-1.376669600125988036e-03
1.190002373497267740e+01,-2.779176882377009522e-02,-8.851646846524802853e-03,-1.505983970877546778e-03
1.200002393442622939e+01,-2.388369101000784728e-02,-1.201455844464778197e-02,-1.561963127140173369e-03
1.210002413387978137e+01,-1.964744648332737362e-02,-1.611492519048933134e-02,-1.541198873348948633e-03
1.220002433333333336e+01,-1.537998967159097223e-02,-2.094804057176492124e-02,-1.466068270863841831e-03
1.230002453278688535e+01,-1.198783795381668134e-02,-2.535165552511139606e-02,-1.401507813236347591e-03
1.240002473224043733e+01,-5.700923186847541013e-03,-3.331454219975869824e-02,-1.167825600421088872e-03
1.250002493169398932e+01,-4.165221148752941589e-03,-3.605618218412676851e-02,-1.175634172167152117e-03
1.260002513114754130e+01,-4.019894138741044246e-04,-4.084174591589179171e-02,-9.767983386695048426e-04
1.270002533060109329e+01,1.243292813546208924e-03,-4.384890216163375709e-02,-9.243661924108692802e-04
1.280002553005464527e+01,3.375433090612269156e-03,-4.651650192254942751e-02,-7.407757217722738333e-04
1.290002572950819726e+01,4.985601920292444776e-03,-4.701923200849324191e-02,-4.827626245132872452e-04
1.300002592896174924e+01,5.776640592637968634e-03,-4.811780320669858946e-02,-3.806571815834812814e-04
1.310002612841530123e+01,6.136647112880835170e-03,-4.863182366042562849e-02,-3.045301930357607835e-04
1.320002632786885322e+01,6.453623721297784867e-03,-5.039502434738696302e-02,-2.717540037861232980e-04
1.330002652732240520e+01,5.421186145731836901e-03,-4.837567390534599360e-02,-2.338247859544023255e-04
1.340002672677595719e+01,4.532477569084822702e-03,-4.739312911149021201e-02,-2.218449397721910686e-04
1.350002692622950917e+01,3.355246696502605687e-03,-4.513757320345089530e-02,-2.188634049906802823e-04
1.360002712568306116e+01,1.993510042961389641e-03,-4.135254402197670320e-02,-2.201385480157889020e-04
1.370002732513661314e+01,5.316900081817649715e-04,-3.605512405311284835e-02,-2.154323829887856169e-04
1.380002752459016513e+01,-9.552217448797536026e-04,-2.954010216901167829e-02,-1.916286255794259373e-04
1.390002772404371711e+01,-2.376435073944689440e-03,-2.225859922132782456e-02,-1.411349972841957168e-04
1.400002792349726910e+01,-3.616382260617923960e-03,-1.464661239816737390e-02,-6.877178349895131490e-05
1.410002812295081931e+01,-4.560848215417805281e-03,-6.992795560429143631e-03,9.637863771446888289e-06
1.420002832240437129e+01,-5.145841904594842565e-03,6.030440898391487697e-04,7.683956230189463606e-05
1.430002852185792328e+01,-5.388374694078639643e-03,8.341064388641886498e-03,1.259177335777964023e-04
1.440002872131147527e+01,-5.409447484088686191e-03,1.560939865224112572e-02,1.571418028863338793e-04
1.450002892076502725e+01,-5.244015984635009252e-03,2.567355497623856342e-02,2.132997245805127421e-04
1.460002912021857924e+01,-5.177927703731313377e-03,3.238335617647829928e-02,2.545965218423666275e-04
1.470002931967213122e+01,-5.321712399053928066e-03,3.690998607785346552e-02,2.820403249199202370e-04
1.480002951912568321e+01,-4.971966822589986117e-03,4.614856602145119696e-02,3.980540281521524376e-04
1.490002971857923519e+01,-5.286392189593910884e-03,5.202431541235130047e-02,4.490711837704242223e-04
1.500002991803278718e+01,-3.656562643260597486e-03,5.741484976129589829e-02,6.225178955171990812e-04
1.510003011748633917e+01,-2.402226755757947037e-03,6.054603808196491743e-02,7.393022053375080142e-04
1.520003031693989115e+01,-1.015827692370485993e-03,5.889537610305836668e-02,8.013950096306922876e-04
1.530003051639344314e+01,5.145264462340767755e-04,5.705728200147991425e-02,8.730905149093048413e-04
1.540003071584699512e+01,1.744763429481759921e-03,5.340590987971031295e-02,9.079949836710870430e-04
1.550003091530054711e+01,2.224400852445354397e-03,4.849105259157777958e-02,8.883287854749401594e-04
1.560003111475409909e+01,1.551252932781510812e-03,4.290921208846010249e-02,7.964551957862777646e-04
1.570003131420765108e+01,-5.097600167931655435e-04,3.717596954454574498e-02,6.179172554719775026e-04
1.580003151366120306e+01,-3.950324806279882986e-03,3.164167134029097217e-02,3.444733508314785399e-04
1.590003171311475505e+01,-8.634592986921749147e-03,2.637938124609279233e-02,-3.141289317227209470e-05
1.600003191256830704e+01,-1.367902932650676660e-02,2.183527434248262733e-02,-4.577576385747617960e-04
1.610003211202185724e+01,-1.804041604920619130e-02,1.851856214813588086e-02,-8.523053169783450806e-04
1.620003231147541101e+01,-2.513488302144024911e-02,1.293480212760514218e-02,-1.534063611956865397e-03
1.630003251092896122e+01,-3.003799793000814719e-02,9.425994698912842570e-03,-2.021053075300608282e-03
1.640003271038251498e+01,-3.455926635261891144e-02,6.234897716424591188e-03,-2.453377609899171606e-03
1.650003290983606519e+01,-3.842172885233734181e-02,4.300702275578101134e-03,-2.801533718450884870e-03
1.660003310928961895e+01,-4.232577289106802254e-02,2.191945345748476555e-03,-3.095762736043485876e-03
1.670003330874316916e+01,-4.250425447045073912e-02,-3.393162685684209630e-04,-3.008778202665157806e-03
1.680003350819672292e+01,-4.446307354999680383e-02,-1.262192336750064554e-03,-3.093849681922042349e-03
1.690003370765027313e+01,-4.171093931074885963e-02,-2.094382721408844655e-03,-2.801097838283383469e-03
1.700003390710382689e+01,-3.907368659222193452e-02,-2.524996797973868244e-03,-2.558327284938686358e-03
1.710003410655737710e+01,-3.484268021612475091e-02,-2.707483295010821873e-03,-2.226925603487133355e-03
1.720003430601093086e+01,-2.984186686750698800e-02,-2.687832723937544702e-03,-1.861915499642243389e-03
1.730003450546448107e+01,-2.543269049062244630e-02,-2.601248840958558014e-03,-1.549138134366733052e-03
1.740003470491803483e+01,-1.648953739985800290e-02,-1.775562602364918856e-03,-8.661489052319720251e-04
1.750003490437158504e+01,-1.373131542319772427e-02,-1.532215892548702881e-03,-6.418368530455847033e-04
1.760003510382513880e+01,-1.010957228787841104e-02,-9.205938437760205571e-04,-3.151562653268576283e-04
1.770003530327868901e+01,-8.159173504399486188e-03,-3.633082476480551781e-04,-1.011996048909688344e-04
1.780003550273224278e+01,-8.009347458785889481e-03,3.666534628162115036e-05,-1.017179627773943235e-05
1.790003570218579299e+01,-7.896122347573260314e-03,5.693354882356149380e-04,4.620888989684337762e-05
1.800003590163934319e+01,-8.134741831173292539e-03,1.012347943099644633e-03,3.477796599568465689e-05
1.810003610109289696e+01,-7.828888308395523521e-03,1.350628349415429084e-03,9.112533538850568359e-06
1.820003630054644717e+01,-5.912207709681154173e-03,1.559544805392080232e-03,4.259221600626748037e-05
1.830003650000000093e+01,-4.374653344635330739e-03,1.635529333523023151e-03,7.477465861486506460e-05
1.840003669945355114e+01,-1.760884550544132955e-03,1.579107711141285132e-03,1.818912322508766223e-04
1.850003689890710490e+01,1.925117199131377681e-03,1.382205630447930038e-03,3.743417536128947304e-04
1.860003709836065511e+01,6.636459922581396630e-03,1.050659874793066989e-03,6.494969706500072597e-04
1.870003729781420887e+01,1.165378961402883939e-02,6.198143035158978518e-04,9.598740843948641360e-04
1.880003749726775908e+01,1.597118335898595198e-02,5.821785457497190524e-05,1.245271255892617043e-03
1.890003769672131284e+01,2.521228744876329031e-02,-4.068532736089299894e-05,1.717650874457701381e-03
1.900003789617486305e+01,2.888363728282792794e-02,-6.236702439492555414e-04,1.936342719960222700e-03
1.910003809562841681e+01,3.428306651215728973e-02,-6.321597578346903768e-04,2.164158535561222334e-03
1.920003829508196702e+01,3.866017935540731754e-02,-4.490945931835476712e-04,2.307583207528507603e-03
1.930003849453552078e+01,4.202347124932218764e-02,8.919031797868142222e-05,2.363670090471794126e-03
1.940003869398907099e+01,4.498846430743576319e-02,1.417821968055928920e-04,2.411761334574749095e-03
1.950003889344262475e+01,4.455068170332340816e-02,2.460305571583140498e-03,2.219176745341419881e-03
1.960003909289617496e+01,4.391579681655988221e-02,3.916339261418035241e-03,2.073824830326787081e-03
1.970003929234972873e+01,4.196018373077470970e-02,5.632346219045060616e-03,1.888841236249088913e-03
1.980003949180327893e+01,3.888172578443041538e-02,7.552312260256472884e-03,1.680492820612873237e-03
1.990003969125683270e+01,3.486987662522226389e-02,9.652199140404858074e-03,1.463101666078268567e-03
2.000003989071038291e+01,3.064793513364600167e-02,1.168120657421912317e-02,1.260721721767190089e-03
2.010004009016393667e+01,2.588544690490441821e-02,1.392154758730766717e-02,1.060517617534331800e-03
2.020004028961748688e+01,2.119916546606870345e-02,1.616298177947129641e-02,8.867123703696119363e-04
2.030004048907104064e+01,1.794015552199095670e-02,1.769590819382792571e-02,7.660642079750588354e-04
2.040004068852459085e+01,1.340907151817037103e-02,2.019229881290363071e-02,6.406899931124164721e-04
2.050004088797814106e+01,9.485763448289729477e-03,2.264909036525438249e-02,5.514768172920356606e-04
2.060004108743169482e+01,6.181816600480748158e-03,2.508401864062977452e-02,4.917387281618357600e-04
2.070004128688524503e+01,3.428181700265147281e-03,2.753254516953737227e-02,4.523217341722599819e-04
2.080004148633879879e+01,6.299798407576580675e-04,3.037463074273982072e-02,4.317227917584973043e-04
2.090004168579234900e+01,-5.518323268946852961e-04,3.239346197972926139e-02,3.991732272103467368e-04
2.100004188524590276e+01,-2.775191212830770138e-03,3.499504025217111541e-02,4.067238145923869272e-04
2.110004208469945297e+01,-3.713012192620364013e-03,3.745074921493791315e-02,3.775928855721824790e-04
2.120004228415300673e+01,-4.929861486114083674e-03,4.014222873201896136e-02,3.738097005455945279e-04
2.130004248360655694e+01,-6.559408809734987474e-03,4.017517076049479524e-02,5.232446095873946341e-04
2.140004268306011070e+01,-7.414879387700018878e-03,4.126638135332791335e-02,6.152235422161272775e-04
2.150004288251366091e+01,-8.191957648031513578e-03,4.347319975784640772e-02,7.207474689073174777e-04
2.160004308196721468e+01,-8.779821223113980569e-03,4.251039485134247564e-02,9.178903871957994932e-04
2.170004328142076488e+01,-8.820942080750175662e-03,3.734085731544799225e-02,1.132502782011417502e-03
2.180004348087431865e+01,-8.845792231842463521e-03,3.424667204230618517e-02,1.305868700536861552e-03
2.190004368032786886e+01,-8.600782687195430293e-03,2.979010372142514712e-02,1.431689240117656973e-03
2.200004387978142262e+01,-8.091542989217664558e-03,2.404528895743855699e-02,1.476256631593930160e-03
2.210004407923497283e+01,-7.338554415701782629e-03,1.717851728200857006e-02,1.412789384631933307e-03
