time,tau_j1,tau_j2,tau_j3,tau_j4,tau_j5,tau_j6,tau_j7
5.269997770532457437e+00,-6.647263077749046012e-01,2.628210793113040111e+01,-2.453512019063164296e+00,8.934369281466864265e+00,-2.678993597847162400e-01,1.642756005264599306e+00,3.236052372926327969e-01
5.279997766301969264e+00,-6.087625801534155556e-01,2.816462545733208955e+01,-3.540853936968944460e+00,8.734199117114384237e+00,-2.131408579052863073e-01,1.635117064765172934e+00,3.081506256421769341e-01
5.289997762071480203e+00,-5.499488224573492179e-01,2.862007784195088789e+01,-4.422555609344983374e+00,8.146831623603915773e+00,-1.607217209083063314e-01,1.570854187368528221e+00,2.920505475914245697e-01
5.299997757840991142e+00,-4.896912733095897252e-01,2.832542995648876172e+01,-5.104836757739864339e+00,7.419755138321859178e+00,-1.143054232763406342e-01,1.487270558210772586e+00,2.757432462393856198e-01
5.309997753610502969e+00,-4.292359078437007480e-01,2.766712239487064551e+01,-5.625019034167398679e+00,6.671658605001786313e+00,-7.484558386581699474e-02,1.400107072351340909e+00,2.595870642980291354e-01
5.319997749380013907e+00,-3.695491881308531346e-01,2.683379848629887476e+01,-6.018565945067368084e+00,5.949749680589878409e+00,-4.210400205299208443e-02,1.314572216296455709e+00,2.438033099507519175e-01
5.329997745149525734e+00,-3.113403847039352690e-01,2.591219383929131226e+01,-6.312369281039676316e+00,5.269566474876321571e+00,-1.541337300567222068e-02,1.231801678043861425e+00,2.285227279783224874e-01
5.339997740919036673e+00,-2.550894542222606476e-01,2.494308781285730348e+01,-6.526076111691251569e+00,4.634476832971948568e+00,6.009542035100234880e-03,1.151691743194976914e+00,2.138367900073098182e-01
5.349997736688547612e+00,-2.010611214192391805e-01,2.394817226532033061e+01,-6.674450102085355496e+00,4.043815260416502966e+00,2.294276851053307642e-02,1.073948725380639235e+00,1.998312404962218070e-01
5.359997732458059438e+00,-1.493188616851075512e-01,2.294172783478461142e+01,-6.769150521247213170e+00,3.495903470462927043e+00,3.611082843392419972e-02,9.984034114993229903e-01,1.866017817804235535e-01
5.369997728227570377e+00,-9.974808691763292767e-02,2.193524299963952728e+01,-6.819855055612964456e+00,2.988986543517336170e+00,4.616469595039640605e-02,9.250521507687172740e-01,1.742545897369344454e-01
5.379997723997082204e+00,-5.208761911474400069e-02,2.093895215679357591e+01,-6.834921783849032373e+00,2.521392035506008877e+00,5.367457441345535596e-02,8.540108420603169659e-01,1.628946327291936336e-01
5.389997719766593143e+00,-5.963270569825840708e-03,1.996214731438487533e+01,-6.821771090785106573e+00,2.091449705206578802e+00,5.912974973712395443e-02,7.854542030528263163e-01,1.526066128738543803e-01
5.399997715536104970e+00,3.908261746606671999e-02,1.901312409641258938e+01,-6.787122905241471216e+00,1.697379517192174836e+00,6.294266399002931833e-02,7.195659098248553542e-01,1.434358823101268832e-01
5.409997711305615908e+00,8.356934935255358465e-02,1.809913432935735145e+01,-6.737182033692395322e+00,1.337211165905247245e+00,6.545521394082576272e-02,6.565050633389908352e-01,1.353772860655043098e-01
5.419997707075126847e+00,1.280648356639989272e-01,1.722644703741706351e+01,-6.677820102405864766e+00,1.008737034506488328e+00,6.694562987192534398e-02,5.963859586049904404e-01,1.283766796518532316e-01
