time,x_des,y_des,z_des,vx_des,vy_des,vz_des
5.720529999999999227e+00,7.585904778533449910e-01,2.172045706499133588e-01,5.473761266704801898e-02,-2.406933547970933548e-02,-5.687001167792478384e-04,-4.601372078151374362e-02
5.820889999999999453e+00,7.557925577733564104e-01,2.173995234196674786e-01,4.918048022112724016e-02,-2.856548927342422717e-02,3.148873814277575872e-03,-6.073793682341633443e-02
5.921240000000000059e+00,7.528568671208129004e-01,2.178366066190549066e-01,4.254640938993185795e-02,-2.656173579844847005e-02,2.871986559177474273e-03,-6.543131477795742501e-02
6.021579999999999266e+00,7.504611366311898513e-01,2.179759831050511187e-01,3.604723103839370391e-02,-1.941205044343764438e-02,-1.528792903607531202e-03,-5.786670683179766239e-02
6.121950000000000003e+00,7.489605172387019394e-01,2.175297502121493198e-01,3.093151394139641297e-02,-1.133358918765517941e-02,-6.050057682360222323e-03,-3.971032011504166404e-02
6.222349999999999604e+00,7.481862801432631604e-01,2.167616270221573715e-01,2.807665103451075991e-02,-7.142032268394339287e-03,-6.043596078727492445e-03,-1.598439211160421203e-02
6.322669999999999568e+00,7.475269820916511376e-01,2.163166910900596873e-01,2.772315712710022792e-02,-9.687881656270698125e-03,-1.807543203505641209e-04,6.952986776513892658e-03
6.423059999999999548e+00,7.462417469441916529e-01,2.167253463584098150e-01,2.947224132961775295e-02,-1.839769385270571822e-02,8.216843712304262165e-03,2.380804636693520729e-02
6.523439999999999905e+00,7.438342319371543665e-01,2.179659603479903451e-01,3.250186295858336488e-02,-2.960772495513583347e-02,1.323880394229388566e-02,3.199466948598370802e-02
6.623799999999999244e+00,7.402989406458742039e-01,2.193826139319795532e-01,3.589415059897237831e-02,-3.833123587388518466e-02,1.015854913163373452e-02,3.203475946128322982e-02
6.724159999999999471e+00,7.361404591018962940e-01,2.200049650284485181e-01,3.893181901160915753e-02,-4.046147619046694399e-02,-1.627876895771451261e-03,2.670839989105408194e-02
6.824510000000000076e+00,7.321775900217284416e-01,2.190558695744264095e-01,4.125500987914496043e-02,-3.449696956407147241e-02,-1.817397040331026822e-02,1.953155254368033750e-02
6.924879999999999924e+00,7.292162929152380402e-01,2.163571202196398480e-01,4.285215512822684175e-02,-2.216210050681041710e-02,-3.296173073538841147e-02,1.325860205526383472e-02
7.025239999999999263e+00,7.277292553159924182e-01,2.124398536085076450e-01,4.391625129233361208e-02,-7.830893991277905475e-03,-3.998039332030445259e-02,9.006250559974131667e-03
7.125619999999999621e+00,7.276444907520073224e-01,2.083323316351356480e-01,4.465987262874878544e-02,2.936863337315429989e-03,-3.620299467177396507e-02,6.278951793134660009e-03
7.225969999999999338e+00,7.283187369450180304e-01,2.051732573036790519e-01,4.517655056624319404e-02,5.230727162499919890e-03,-2.249969721278440374e-02,3.745039846857718853e-03
7.326329999999999565e+00,7.286943923696826975e-01,2.038162351600102673e-01,4.541156991123435765e-02,-3.703631316426300724e-03,-2.874068018729337981e-03,3.032133220028629438e-04
7.426779999999999937e+00,7.275753511040844446e-01,2.045963798316889348e-01,4.523741096813029688e-02,-2.367378991616921405e-02,1.724309442311660126e-02,-4.109108312955851543e-03
7.527129999999999654e+00,7.239426342379100543e-01,2.072772363107388272e-01,4.458679749796365388e-02,-5.175377071597653256e-02,3.282524700692731473e-02,-8.352197139643965235e-03
7.627429999999999488e+00,7.171874325781379955e-01,2.111850010429500712e-01,4.356097382743552571e-02,-8.345292225932264552e-02,4.059597850010069481e-02,-1.061905059302481122e-02
7.727819999999999467e+00,7.071921222425711084e-01,2.154255839829198882e-01,4.245536183912784062e-02,-1.139178378946844039e-01,3.931508507210571685e-02,-9.307787916464107386e-03
7.828159999999999563e+00,6.943220605998089434e-01,2.190762502199614936e-01,4.169273232163989151e-02,-1.394071090143267355e-01,2.960378072141437236e-02,-3.902807169083421200e-03
7.928480000000000416e+00,6.792105921947225733e-01,2.213675986021388098e-01,4.167199779948303762e-02,-1.582911318464295392e-01,1.338323643032603497e-02,4.587023410213189774e-03
8.028819999999999624e+00,6.625501653687441150e-01,2.217625080081073174e-01,4.261343094519340347e-02,-1.708495426437921239e-01,-6.903894761671409801e-03,1.384236959953305188e-02
8.129139999999999588e+00,6.449179966093916416e-01,2.199818619629761718e-01,4.445041192499907257e-02,-1.789423454275725911e-01,-2.878512432109731414e-02,2.095385212832019325e-02
8.229509999999999437e+00,6.266331977849780577e-01,2.159848125461128754e-01,4.681924833207078834e-02,-1.849118959337975876e-01,-5.001475319496335309e-02,2.335937181099490695e-02
8.329829999999999401e+00,6.078028321901620679e-01,2.099429957297141991e-01,4.913906065209552865e-02,-1.907864121811680969e-01,-6.879349996527005240e-02,1.972523548619271178e-02
8.430199999999999250e+00,5.883389116261571461e-01,2.021767119407338054e-01,5.077846012091196543e-02,-1.974910258518501327e-01,-8.375431788112126796e-02,1.039034226374515278e-02
8.530569999999999098e+00,5.681628087141278316e-01,1.931319881778195136e-01,5.122459040962415444e-02,-2.043659788544275324e-01,-9.392479329302665103e-02,-2.721587664403423042e-03
