time,tau1,tau2,tau3,tau4,tau5,tau6,tau7
0.111,-0.118681,-0.496941,-0.10361,0.505894,-0.00850493,0.181134,4.88993e-18
0.112,-0.118681,-0.496941,-0.10361,0.505894,-0.00850493,0.181134,4.88993e-18
0.113,-0.118431,-0.495369,-0.10341,0.503878,-0.0084938,0.180322,-1.15197e-17
0.114,-0.118431,-0.495369,-0.10341,0.503878,-0.0084938,0.180322,-1.15197e-17
0.115,-0.118185,-0.493822,-0.103212,0.501893,-0.00848286,0.179523,-7.33958e-18
0.116,-0.117942,-0.492295,-0.103017,0.499933,-0.008472,0.178734,-9.94552e-18
0.117,-0.117942,-0.492295,-0.103017,0.499933,-0.008472,0.178734,-9.94552e-18
0.118,-0.117942,-0.492295,-0.103017,0.499933,-0.008472,0.178734,-9.94552e-18
0.119,-0.117706,-0.490811,-0.102827,0.498026,-0.00846152,0.177965,-7.27685e-19
0.12,-0.117706,-0.490811,-0.102827,0.498026,-0.00846152,0.177965,-7.27685e-19
0.121,-0.11747,-0.489331,-0.102638,0.496123,-0.00845099,0.177198,-2.74575e-18
0.122,-0.117238,-0.487873,-0.102451,0.494246,-0.0084406,0.176442,-6.29379e-18
0.123,-0.117238,-0.487873,-0.102451,0.494246,-0.0084406,0.176442,-6.29379e-18
0.124,-0.117238,-0.487873,-0.102451,0.494246,-0.0084406,0.176442,-6.29379e-18
0.125,-0.117014,-0.486462,-0.102271,0.492428,-0.00843072,0.175709,1.98002e-17
0.126,-0.116789,-0.485051,-0.10209,0.49061,-0.0084207,0.174975,-1.11721e-17
0.127,-0.116789,-0.485051,-0.10209,0.49061,-0.0084207,0.174975,-1.11721e-17
0.128,-0.116789,-0.485051,-0.10209,0.49061,-0.0084207,0.174975,-1.11721e-17
0.129,-0.116574,-0.483689,-0.101918,0.488852,-0.00841126,0.174266,1.11139e-17
0.13,-0.116574,-0.483689,-0.101918,0.488852,-0.00841126,0.174266,1.11139e-17
0.131,-0.116355,-0.482319,-0.101742,0.487084,-0.00840146,0.173552,-3.23326e-20
0.132,-0.11614,-0.480971,-0.101568,0.485342,-0.00839181,0.172849,-7.96342e-18
0.133,-0.11614,-0.480971,-0.101568,0.485342,-0.00839181,0.172849,-7.96342e-18
0.134,-0.115931,-0.479663,-0.1014,0.483651,-0.00838254,0.172166,6.15269e-18
0.135,-0.115931,-0.479663,-0.1014,0.483651,-0.00838254,0.172166,6.15269e-18
0.136,-0.115725,-0.478375,-0.101234,0.481982,-0.00837336,0.171492,-2.21318e-18
0.137,-0.115725,-0.478375,-0.101234,0.481982,-0.00837336,0.171492,-2.21318e-18
0.138,-0.11577,-0.478507,-0.101276,0.482152,-0.00837688,0.17156,-2.21394e-18
0.139,-0.11577,-0.478507,-0.101276,0.482152,-0.00837688,0.17156,-2.21394e-18
0.14,-0.115441,-0.476535,-0.101008,0.479597,-0.00836136,0.170527,1.1334e-17
0.141,-0.115441,-0.476535,-0.101008,0.479597,-0.00836136,0.170527,1.1334e-17
0.142,-0.115123,-0.474602,-0.100749,0.477091,-0.00834653,0.169514,8.54933e-18
0.143,-0.115123,-0.474602,-0.100749,0.477091,-0.00834653,0.169514,8.54933e-18
0.144,-0.115043,-0.474043,-0.100688,0.476365,-0.00834365,0.16922,-1.31192e-17
0.145,-0.115043,-0.474043,-0.100688,0.476365,-0.00834365,0.16922,-1.31192e-17
0.146,-0.114852,-0.472849,-0.100534,0.474812,-0.00833514,0.168592,-9.36595e-18
0.147,-0.114852,-0.472849,-0.100534,0.474812,-0.00833514,0.168592,-9.36595e-18
