time,x,y,z,xdot,ydot,zdot,xddot,yddot,zddot
2.911550000000000082e+00,5.313938408248097822e-01,2.257480902447506765e-01,1.446284780122280011e-01,-6.858295977290645995e-02,-3.198903310320043436e-02,-5.261526750831353565e-03,-2.205735926047742643e-02,-1.013655612927608952e-02,7.011203908455930413e-04
3.011919999999999931e+00,5.243820587205262340e-01,2.224866779186794319e-01,1.441038236412282569e-01,-7.112381373007763130e-02,-3.299321910625088033e-02,-5.191988245282597864e-03,-2.531271672588155525e-02,-1.000398931373869781e-02,6.927625602128279284e-04
3.112280000000000157e+00,5.170853306453166987e-01,2.191160486728573609e-01,1.435860267776989663e-01,-7.426038694173150989e-02,-3.416513373544894511e-02,-5.124893833732663793e-03,-3.124744299943022982e-02,-1.167495005058597456e-02,6.684137939765804172e-04
3.212650000000000006e+00,5.094389214271342059e-01,2.156167225564308010e-01,1.430647511408230099e-01,-7.809106164408985418e-02,-3.555744946661872075e-02,-5.261301323296233012e-03,-3.816228136061454446e-02,-1.387064911645954045e-02,-1.358930580353163910e-03
3.312990000000000101e+00,5.013636272609974798e-01,2.119610134112301925e-01,1.425214295212171023e-01,-8.280573695283291458e-02,-3.728099901131037841e-02,-5.564150654623281275e-03,-4.696894924161175433e-02,-1.717049548033617798e-02,-3.017072001666315072e-03
3.413339999999999819e+00,4.927953944012624099e-01,2.081243967416048501e-01,1.419413910183012217e-01,-8.791265526938575603e-02,-3.916195487821019089e-02,-5.992869592822307363e-03,-5.087658671773435948e-02,-1.873862246129574111e-02,-4.271021168699769277e-03
3.513739999999999863e+00,4.837453708526154861e-01,2.041115670040491159e-01,1.413204149393821329e-01,-9.240521133047187308e-02,-4.079196937568884546e-02,-6.379814429306969459e-03,-4.475613351505744464e-02,-1.623867248147300643e-02,-3.854855572015446642e-03
3.614090000000000025e+00,4.742645781919405668e-01,1.999473782106139796e-01,1.406644865349923335e-01,-9.649554644756652699e-02,-4.217771963285790043e-02,-6.689279798575366656e-03,-4.074909297353494775e-02,-1.380524197919286850e-02,-3.082982871428977326e-03
3.714440000000000186e+00,4.644131946628229368e-01,1.956649164374656136e-01,1.399839989332237467e-01,-9.978907662317272609e-02,-4.314850814751171326e-02,-6.869145982196149178e-03,-3.281109334441215802e-02,-9.671273944264643235e-03,-1.791878569686538181e-03
3.814690000000000136e+00,4.542821542917422906e-01,1.913087132556716696e-01,1.392920179147817683e-01,-1.020675899733929221e-01,-4.364698580830650432e-02,-6.918281233029986883e-03,-2.269920426850322373e-02,-4.965977594370108578e-03,-4.894994779616461834e-04
3.915010000000000101e+00,4.440075070756002162e-01,1.869309039031909203e-01,1.386033700658094725e-01,-1.026503818773999155e-01,-4.357900190067131446e-02,-6.802733999447629736e-03,-5.805940296029495074e-03,6.772752093960835579e-04,1.151114720259552911e-03
4.015279999999999738e+00,4.337139712364578292e-01,1.825742906794342035e-01,1.379304882059571302e-01,-1.024439377457616041e-01,-4.322466196670009947e-02,-6.604150611416764911e-03,2.056655719677434949e-03,3.530036170700161322e-03,1.978344734652711431e-03
4.115599999999999703e+00,4.235199455937365687e-01,1.782716082898129495e-01,1.372865885370658512e-01,-1.006676835753320537e-01,-4.250445298894853924e-02,-6.225276182305756502e-03,1.769555409603575102e-02,7.174928643895231092e-03,3.774455856346939885e-03
4.215959999999999930e+00,4.135848086939807877e-01,1.740566107089659975e-01,1.366915400345128095e-01,-9.728568975145193698e-02,-4.147757947941080325e-02,-5.630811918133087242e-03,3.369239361079538753e-02,1.023000876806762389e-02,5.922223699710519457e-03
