time,tau1,tau2,tau3,tau4,tau5,tau6,tau7
0,-2.28795e-13,-0.19017,-1.87639e-13,0.450318,1.776e-12,3.23045e-11,-1.50552e-12
0,-2.28759e-13,-0.191333,-1.87604e-13,0.449194,1.77732e-12,3.23842e-11,-1.48873e-12
0,-2.28718e-13,-0.192488,-1.87564e-13,0.448065,1.77861e-12,3.24638e-11,-1.47198e-12
0,-2.28671e-13,-0.193636,-1.8752e-13,0.446932,1.77985e-12,3.25434e-11,-1.45527e-12
0,-2.28619e-13,-0.194776,-1.87471e-13,0.445794,1.78106e-12,3.26229e-11,-1.43859e-12
0,-2.28619e-13,-0.194776,-1.87471e-13,0.445794,1.78106e-12,3.26229e-11,-1.43859e-12
0,-2.28496e-13,-0.197034,-1.87358e-13,0.443505,1.78337e-12,3.27818e-11,-1.40538e-12
0,-2.29178e-13,-0.19816,-1.87909e-13,0.442342,1.78896e-12,3.28967e-11,-1.40569e-12
0,-2.28357e-13,-0.19927,-1.87232e-13,0.441187,1.78556e-12,3.29405e-11,-1.37234e-12
0,-2.28269e-13,-0.200371,-1.87154e-13,0.440028,1.78654e-12,3.30195e-11,-1.35573e-12
0,-2.28183e-13,-0.201465,-1.87077e-13,0.438866,1.78753e-12,3.30987e-11,-1.33932e-12
0,-2.28091e-13,-0.202551,-1.86996e-13,0.437699,1.78848e-12,3.31779e-11,-1.32296e-12
0,-2.27995e-13,-0.203628,-1.8691e-13,0.436529,1.78939e-12,3.32571e-11,-1.30665e-12
0,-2.27892e-13,-0.204698,-1.86821e-13,0.435355,1.79027e-12,3.33362e-11,-1.29039e-12
0,-2.27785e-13,-0.20576,-1.86727e-13,0.434178,1.79112e-12,3.34153e-11,-1.27418e-12
0,-2.27672e-13,-0.206813,-1.86628e-13,0.432997,1.79193e-12,3.34944e-11,-1.25802e-12
0,-2.27555e-13,-0.207859,-1.86526e-13,0.431813,1.79271e-12,3.35735e-11,-1.24192e-12
0,-2.27432e-13,-0.208896,-1.86419e-13,0.430625,1.79345e-12,3.36525e-11,-1.22586e-12
0,-2.27304e-13,-0.209925,-1.86309e-13,0.429435,1.79416e-12,3.37316e-11,-1.20987e-12
0,-2.27172e-13,-0.210946,-1.86194e-13,0.428241,1.79484e-12,3.38106e-11,-1.19392e-12
0,-2.27034e-13,-0.211958,-1.86075e-13,0.427045,1.79548e-12,3.38896e-11,-1.17804e-12
0,-2.26892e-13,-0.212962,-1.85953e-13,0.425846,1.79609e-12,3.39597e-11,-1.16221e-12
0,-2.26745e-13,-0.213957,-1.85826e-13,0.424644,1.79667e-12,3.40298e-11,-1.14644e-12
0,-2.26593e-13,-0.214945,-1.85696e-13,0.423439,1.79722e-12,3.40999e-11,-1.13072e-12
0,-2.26436e-13,-0.215923,-1.85562e-13,0.422232,1.79773e-12,3.417e-11,-1.11507e-12
0,-2.26275e-13,-0.216893,-1.85424e-13,0.421022,1.79822e-12,3.424e-11,-1.09947e-12
0,-2.26109e-13,-0.217855,-1.85282e-13,0.41981,1.79867e-12,3.43101e-11,-1.08394e-12
0,-2.25939e-13,-0.218808,-1.85137e-13,0.418595,1.79909e-12,3.43802e-11,-1.06847e-12
0,-2.25764e-13,-0.219752,-1.84988e-13,0.417378,1.79949e-12,3.44503e-11,-1.04863e-12
0,-2.25585e-13,-0.220688,-1.84835e-13,0.416159,1.79985e-12,3.45204e-11,-1.02884e-12
0,-2.25402e-13,-0.221615,-1.84679e-13,0.414938,1.80018e-12,3.45905e-11,-1.00912e-12
0,-2.25214e-13,-0.222533,-1.8452e-13,0.413715,1.80049e-12,3.46607e-11,-9.8947e-13
